|"Nose Slope"|||"43195049"|"17088119"
|"Side Slope"|||"43195049"|"17088118"
|"Base Slope"|||"43195048"|"17088117"
|"Interfluve"|||"43195046"|"17088114"
|"Side Slope"|||"43195046"|"17088113"
|"Interfluve"|||"43195047"|"17088115"
|"Side Slope"|||"43195047"|"17088116"
|"Side Slope"|||"43195045"|"17088112"
|"Base Slope"|||"43195044"|"17088111"
||"Tread"||"43195043"|"17088110"
|"Base Slope"|||"43195042"|"17088109"
|"Base Slope"|||"43195041"|"17088108"
|"Base Slope"|||"43195040"|"17088107"
|"Base Slope"|||"43195039"|"17088106"
|"Base Slope"|||"43195038"|"17088105"
|"Base Slope"|||"43195037"|"17088104"
|"Base Slope"|||"43195036"|"17088103"
|"Base Slope"|||"43195035"|"17088102"
|"Head Slope"|||"43195034"|"17088101"
|"Side Slope"|||"43195034"|"17088100"
|"Interfluve"|||"43195033"|"17088098"
|"Side Slope"|||"43195033"|"17088099"
|"Head Slope"|||"43195032"|"17088097"
|"Side Slope"|||"43195032"|"17088096"
|"Nose Slope"|||"43195031"|"17088095"
|"Side Slope"|||"43195031"|"17088094"
|"Head Slope"|||"43195029"|"17088093"
|"Side Slope"|||"43195029"|"17088092"
|"Interfluve"|||"43195028"|"17088090"
|"Side Slope"|||"43195028"|"17088091"
|"Nose Slope"|||"43195027"|"17088089"
|"Side Slope"|||"43195027"|"17088088"
|"Head Slope"|||"43195025"|"17088087"
|"Side Slope"|||"43195025"|"17088086"
|"Interfluve"|||"43195024"|"17088084"
|"Side Slope"|||"43195024"|"17088085"
|"Base Slope"|||"43195023"|"17088083"
|"Base Slope"|||"43195022"|"17088082"
|"Interfluve"|||"43195021"|"17088081"
|"Base Slope"|||"43195020"|"17088080"
|"Base Slope"|||"43195019"|"17088079"
|"Base Slope"|||"43195018"|"17088078"
|"Interfluve"|||"43195017"|"17088077"
|"Base Slope"|||"43195016"|"17088076"
|"Interfluve"|||"43195015"|"17088074"
|"Side Slope"|||"43195015"|"17088075"
|"Head Slope"|||"43194946"|"17087973"
|"Side Slope"|||"43194946"|"17087972"
|"Side Slope"|||"43194945"|"17087971"
"Mountainflank"||||"43194944"|"17087970"
|"Interfluve"|||"43194942"|"17087969"
|"Side Slope"|||"43194941"|"17087968"
|"Interfluve"|||"43194940"|"17087967"
